,market_rel_strength,wave1_trend,wave2_trend,edgar_ai_intensity,wave1,wave2,FDI
2015-01-31,1.0042061385775416,35.555678408491346,16.871394935329135,0.5342399987532153,-1.5135081075629002,-0.6868323936688128,-1.1001702506158564
2015-02-28,1.019619565742508,30.573442241760993,21.533326304821365,0.6522632543619127,-1.620327068379159,-0.5685427226021582,-1.0944348954906586
2015-03-31,0.9915820028398642,38.95522429041724,17.94725877859815,0.24229679637177526,-1.4426359438094618,-0.7295055564034661,-1.086070750106464
2015-04-30,0.9614435835289834,39.55978193133682,23.28153704337164,0.38494042261371064,-1.4566938007031864,-0.5924901986572624,-1.0245919996802244
2015-05-31,0.9840113935814301,35.06756478642858,16.186847554353893,0.5291909136963056,-1.54471938531991,-0.7015094624665209,-1.1231144238932154
2015-06-30,0.9580328523365882,34.477418972592055,19.587137095504474,0.5620778686938326,-1.583948276179953,-0.6268939071648221,-1.1054210916723877
2015-07-31,1.01160345917669,34.858110064641664,19.97792517144478,0.44712295463006535,-1.5234560887169826,-0.6443478388547339,-1.0839019637858582
2015-08-31,1.0767128594888618,32.45569685067264,16.026063385846882,0.6585349298048171,-1.519834146233839,-0.6763416036099483,-1.0980878749218936
2015-09-30,0.9863378535876217,38.72586733165315,25.16591497864533,0.5362513217946029,-1.453244087266857,-0.5219642192003862,-0.9876041532336216
2015-10-31,0.981328191660313,33.85657885896805,24.38122036043883,0.3232863713401119,-1.5768284934502856,-0.5842065010994362,-1.0805174972748608
2015-11-30,1.0384249531236835,35.39379075034876,18.60924878826783,0.36635666155859187,-1.4847502627366747,-0.6891857587553358,-1.0869680107460051
2015-12-31,1.0335570483663947,33.23739535304197,22.315163587775647,0.6275546802919681,-1.5420127300019018,-0.5584605802503237,-1.0502366551261129
2016-01-31,1.0229865033320247,33.81775819978022,21.136028322505897,0.5771672100032013,-1.5379572785137112,-0.5928813769995835,-1.0654193277566475
2016-02-29,0.9734458335375595,31.95133023612744,12.15932175138803,0.22369907017375146,-1.6308450429134327,-0.8483203528081291,-1.239582697860781
2016-03-31,1.0210406170489892,39.65526254790632,20.75119422505768,0.7118010927581333,-1.3973996443638896,-0.5709953339817162,-0.9841974891728029
2016-04-30,1.060116401977722,35.533678940392264,19.81596798009001,0.6005688915952658,-1.4606040430925635,-0.6139195387654799,-1.0372617909290218
2016-05-31,0.9613398044252199,39.019392890772906,20.249652334049284,0.7137374138035941,-1.4699768655803367,-0.580513213676737,-1.0252450396285369
2016-06-30,1.009261450058501,36.302704573652754,16.769375581477068,0.45622014196826577,-1.4904508873415692,-0.7059585295479984,-1.0982047084447837
2016-07-31,0.941110661857542,34.33782437161784,19.191959286199367,0.47114630272287994,-1.6035287262164424,-0.6546620422428467,-1.1290953842296445
